RL2022-2023,Jugador2022-2023,País2022-2023,Posc2022-2023,Equipo2022-2023,Comp2022-2023,Edad2022-2023,Nacimiento2022-2023,90 s2022-2023,Int.2022-2023,Balón vivo2022-2023,Balón muerto2022-2023,FK2022-2023,PL2022-2023,Camb.2022-2023,Pcz2022-2023,Lanz.2022-2023,SE2022-2023,Dentro2022-2023,Fuera2022-2023,Rect.2022-2023,Cmp2022-2023,PA2022-2023,Bloqueos2022-2023
69,Iván Alejo,es ESP,"CC,DL",Cádiz,es La Liga,27,1995,14.6,392.0,365.0,25.0,5.0,1.0,0.0,108,13.0,7.0,2.0,4.0,0.0,219.0,2.0,26.0
70,Doğan Alemdar,tr TUR,PO,Rennes,fr Ligue 1,19,2002,4.5,145.0,96.0,48.0,13.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,95.0,1.0,0.0
71,Carles Aleñá,es ESP,"CC,DL",Getafe,es La Liga,24,1998,23.5,809.0,782.0,21.0,8.0,3.0,10.0,43,2.0,9.0,5.0,4.0,0.0,607.0,6.0,18.0
72,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,23,1998,32.5,2912.0,2393.0,509.0,70.0,26.0,59.0,252,341.0,98.0,16.0,74.0,1.0,2188.0,10.0,37.0
73,Alejandro Alfaro,es ESP,CC,Elche,es La Liga,20,2002,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
74,Ángel Algobia,es ESP,CC,Getafe,es La Liga,23,1999,12.6,521.0,502.0,17.0,15.0,0.0,5.0,11,0.0,1.0,1.0,0.0,0.0,420.0,2.0,8.0
75,Mohamed Ali Cho,fr FRA,"DL,CC",Real Sociedad,es La Liga,18,2004,6.5,165.0,158.0,6.0,0.0,0.0,0.0,30,0.0,2.0,1.0,1.0,0.0,108.0,1.0,6.0
76,Faride Alidou,de GER,"DF,CC",Eint Frankfurt,de Bundesliga,21,2001,2.0,101.0,84.0,17.0,0.0,0.0,0.0,7,17.0,0.0,0.0,0.0,0.0,74.0,0.0,2.0
77,Alisson,br BRA,PO,Liverpool,eng Premier League,29,1992,37.0,1453.0,1199.0,250.0,57.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,1241.0,4.0,1.0
78,Jim Allevinah,ga GAB,"DF,DL",Clermont Foot,fr Ligue 1,27,1995,24.9,848.0,789.0,58.0,7.0,0.0,3.0,65,50.0,0.0,0.0,0.0,0.0,658.0,1.0,32.0
79,Dele Alli,eng ENG,CC,Everton,eng Premier League,26,1996,0.4,15.0,13.0,2.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
80,Domingos André Ribeiro Almeida,pt POR,CC,Valencia,es La Liga,22,2000,28.2,1402.0,1226.0,164.0,72.0,7.0,12.0,127,13.0,63.0,22.0,17.0,0.0,1110.0,12.0,18.0
81,Miguel Almirón,py PAR,DL,Newcastle Utd,eng Premier League,28,1994,27.7,982.0,946.0,30.0,0.0,3.0,4.0,26,18.0,11.0,0.0,0.0,0.0,811.0,6.0,29.0
82,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,31,1990,13.0,1005.0,956.0,47.0,16.0,1.0,11.0,23,16.0,12.0,6.0,4.0,0.0,896.0,2.0,8.0
83,Mickaël Alphonse,gp GLP,DF,Ajaccio,fr Ligue 1,33,1989,15.1,686.0,527.0,157.0,8.0,0.0,0.0,27,149.0,0.0,0.0,0.0,0.0,448.0,2.0,21.0
84,Éder Álvarez Balanta,co COL,"CC,DL",Schalke 04,de Bundesliga,29,1993,2.6,91.0,84.0,5.0,3.0,1.0,1.0,2,0.0,2.0,1.0,1.0,0.0,64.0,2.0,1.0
85,Carlos Álvarez,es ESP,CC,Sevilla,es La Liga,18,2003,0.1,4.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
86,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,22,2000,16.7,579.0,431.0,147.0,6.0,0.0,2.0,23,141.0,0.0,0.0,0.0,0.0,350.0,1.0,16.0
87,Julián Álvarez,ar ARG,"DL,CC",Manchester City,eng Premier League,22,2000,16.3,503.0,478.0,21.0,2.0,7.0,3.0,26,4.0,4.0,3.0,0.0,0.0,395.0,4.0,17.0
88,Agustín Álvarez Martínez,uy URU,"DL,CC",Sassuolo,it Serie A,21,2001,4.1,84.0,76.0,8.0,0.0,0.0,1.0,4,0.0,3.0,0.0,3.0,0.0,68.0,0.0,1.0
89,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,27,1995,25.9,1392.0,1308.0,80.0,72.0,5.0,35.0,9,2.0,0.0,0.0,0.0,0.0,1123.0,4.0,12.0
90,Ibrahim Amadou,fr FRA,"DF,CC",Angers,fr Ligue 1,29,1993,4.7,190.0,186.0,4.0,4.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,161.0,0.0,5.0
91,Selim Amallah,ma MAR,"CC,DL",Valladolid,es La Liga,25,1996,3.0,83.0,80.0,3.0,0.0,0.0,1.0,2,2.0,0.0,0.0,0.0,0.0,63.0,0.0,1.0
92,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,27,1994,17.9,1114.0,1092.0,20.0,15.0,2.0,2.0,0,5.0,0.0,0.0,0.0,0.0,1015.0,2.0,2.0
93,Amath,sn SEN,"CC,DL",Mallorca,es La Liga,26,1996,13.6,299.0,278.0,20.0,1.0,1.0,1.0,16,8.0,0.0,0.0,0.0,0.0,215.0,1.0,16.0
94,Jordan Amavi,fr FRA,DF,Getafe,es La Liga,28,1994,2.2,96.0,69.0,27.0,1.0,0.0,0.0,6,26.0,0.0,0.0,0.0,0.0,51.0,0.0,5.0
95,Lukáš Ambros,cz CZE,CC,Wolfsburg,de Bundesliga,18,2004,0.2,3.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
96,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,24,1998,26.4,1110.0,869.0,238.0,14.0,1.0,2.0,39,222.0,2.0,0.0,1.0,0.0,830.0,3.0,31.0
195,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,20,2002,23.8,1048.0,957.0,88.0,33.0,0.0,0.0,5,51.0,0.0,0.0,0.0,0.0,832.0,3.0,24.0
99,Nadiem Amiri,de GER,"CC,DL",Leverkusen,de Bundesliga,25,1996,10.9,507.0,472.0,32.0,14.0,4.0,4.0,16,4.0,9.0,2.0,7.0,0.0,423.0,3.0,15.0
100,Samuel Amo-Ameyaw,eng ENG,CC,Southampton,eng Premier League,16,2006,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
101,Ethan Ampadu,wls WAL,"DF,CC",Spezia,it Serie A,21,2000,29.3,1548.0,1426.0,116.0,46.0,3.0,17.0,11,47.0,0.0,0.0,0.0,0.0,1254.0,6.0,20.0
102,Sofyan Amrabat,ma MAR,CC,Fiorentina,it Serie A,25,1996,22.2,1490.0,1396.0,91.0,80.0,1.0,22.0,26,9.0,1.0,0.0,0.0,0.0,1323.0,3.0,25.0
103,Ayoub Amraoui,ma MAR,"DF,DL",Nice,fr Ligue 1,18,2004,3.3,185.0,174.0,11.0,0.0,0.0,1.0,14,11.0,0.0,0.0,0.0,0.0,155.0,0.0,5.0
104,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,26,1996,30.9,1972.0,1840.0,123.0,107.0,4.0,44.0,10,13.0,1.0,0.0,0.0,0.0,1561.0,9.0,13.0
105,Elliot Anderson,sct SCO,"CC,DL",Newcastle Utd,eng Premier League,19,2002,4.6,198.0,193.0,3.0,0.0,1.0,0.0,9,2.0,1.0,0.0,0.0,0.0,150.0,2.0,10.0
106,Felipe Anderson,br BRA,DL,Lazio,it Serie A,29,1993,32.9,1410.0,1370.0,34.0,2.0,4.0,8.0,50,21.0,3.0,1.0,2.0,0.0,1093.0,6.0,41.0
107,Benjamin André,fr FRA,CC,Lille,fr Ligue 1,31,1990,32.4,2324.0,2262.0,54.0,49.0,8.0,23.0,14,5.0,0.0,0.0,0.0,0.0,1942.0,8.0,31.0
108,Marcos André,br BRA,"DL,CC",Valencia,es La Liga,25,1996,5.0,64.0,58.0,6.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,43.0,0.0,1.0
109,Komnen Andrić,rs SRB,DL,Clermont Foot,fr Ligue 1,27,1995,16.1,428.0,391.0,35.0,0.0,0.0,4.0,1,0.0,0.0,0.0,0.0,0.0,320.0,2.0,16.0
110,Robert Andrich,de GER,CC,Leverkusen,de Bundesliga,27,1994,26.7,1455.0,1404.0,49.0,42.0,0.0,4.0,4,5.0,0.0,0.0,0.0,0.0,1218.0,2.0,12.0
111,Angeliño,es ESP,DF,Hoffenheim,de Bundesliga,25,1997,29.1,1544.0,1160.0,366.0,42.0,1.0,16.0,179,276.0,48.0,18.0,23.0,0.0,1012.0,18.0,40.0
112,Fabrizio Angileri,ar ARG,DF,Getafe,es La Liga,28,1994,6.5,260.0,190.0,70.0,3.0,0.0,2.0,12,67.0,0.0,0.0,0.0,0.0,153.0,0.0,13.0
113,Jaidon Anthony,eng ENG,"CC,DL",Bournemouth,eng Premier League,22,1999,14.0,526.0,480.0,45.0,9.0,2.0,5.0,43,21.0,14.0,9.0,1.0,1.0,387.0,1.0,18.0
114,Janis Antiste,fr FRA,DL,Sassuolo,it Serie A,19,2002,0.6,18.0,18.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
115,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,26,1996,32.6,2059.0,1854.0,201.0,64.0,4.0,21.0,31,136.0,0.0,0.0,0.0,0.0,1629.0,4.0,31.0
116,Josep Antoni Gayá,es ESP,"DF,CC",Mallorca,es La Liga,22,2000,1.1,7.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
117,José Antonio,es ESP,"CC,DF",Cádiz,es La Liga,18,2004,0.5,10.0,9.0,1.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0
118,Marcos Antônio,br BRA,CC,Lazio,it Serie A,22,2000,6.6,420.0,418.0,2.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,380.0,0.0,5.0
119,Michail Antonio,jm JAM,DL,West Ham,eng Premier League,32,1990,20.3,348.0,335.0,12.0,1.0,1.0,1.0,35,8.0,0.0,0.0,0.0,0.0,186.0,1.0,18.0
120,Antony,br BRA,DL,Manchester Utd,eng Premier League,22,2000,20.0,819.0,804.0,15.0,1.0,3.0,2.0,32,13.0,1.0,0.0,0.0,0.0,651.0,0.0,29.0
121,Valentin Antov,bg BUL,DF,Monza,it Serie A,21,2000,3.4,229.0,213.0,16.0,4.0,0.0,1.0,2,12.0,0.0,0.0,0.0,0.0,201.0,0.0,1.0
122,Christopher Antwi-Adjei,gh GHA,"DL,CC",Bochum,de Bundesliga,28,1994,22.0,712.0,513.0,195.0,3.0,2.0,2.0,63,180.0,4.0,0.0,0.0,0.0,432.0,4.0,32.0
123,Anuar,ma MAR,"CC,DL",Valladolid,es La Liga,27,1995,2.3,40.0,39.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,30.0,0.0,4.0
124,Houssem Aouar,dz ALG,CC,Lyon,fr Ligue 1,24,1998,5.8,370.0,361.0,9.0,4.0,1.0,3.0,6,1.0,3.0,0.0,0.0,0.0,299.0,0.0,9.0
125,Adil Aouchiche,fr FRA,CC,Lorient,fr Ligue 1,20,2002,2.8,154.0,133.0,21.0,8.0,0.0,4.0,17,3.0,8.0,2.0,4.0,0.0,115.0,0.0,4.0
126,Dennis Appiah,fr FRA,"DF,CC",Nantes,fr Ligue 1,30,1992,8.8,468.0,393.0,74.0,5.0,0.0,0.0,21,69.0,0.0,0.0,0.0,0.0,339.0,1.0,8.0
127,Stredair Appuah,fr FRA,"DF,CC",Nantes,fr Ligue 1,18,2004,0.7,27.0,26.0,1.0,1.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,19.0,0.0,2.0
128,Mauro Arambarri,uy URU,CC,Getafe,es La Liga,26,1995,11.0,421.0,355.0,66.0,44.0,0.0,6.0,42,0.0,22.0,14.0,7.0,1.0,326.0,0.0,7.0
129,Charles Aránguiz,cl CHI,CC,Leverkusen,de Bundesliga,33,1989,5.5,311.0,290.0,20.0,12.0,0.0,0.0,12,1.0,7.0,4.0,3.0,0.0,248.0,1.0,3.0
130,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,23,1999,20.0,1287.0,1207.0,75.0,41.0,2.0,19.0,5,25.0,0.0,0.0,0.0,0.0,1139.0,5.0,6.0
131,Cameron Archer,eng ENG,"DL,CC",Aston Villa,eng Premier League,21,2001,0.5,12.0,11.0,1.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0
132,Taïryk Arconte,fr FRA,DL,Brest,fr Ligue 1,18,2003,1.4,17.0,15.0,2.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0
133,Alphonse Areola,fr FRA,PO,West Ham,eng Premier League,29,1993,3.4,92.0,59.0,32.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,67.0,1.0,0.0
134,Adu Ares,es ESP,"DL,CC",Athletic Club,es La Liga,20,2001,0.9,51.0,49.0,2.0,0.0,0.0,1.0,8,1.0,1.0,0.0,0.0,0.0,42.0,0.0,1.0
135,Joe Aribo,ng NGA,"CC,DL",Southampton,eng Premier League,26,1996,13.6,385.0,376.0,9.0,0.0,0.0,0.0,8,2.0,0.0,0.0,0.0,0.0,280.0,0.0,16.0
136,Adam Armstrong,eng ENG,"DL,CC",Southampton,eng Premier League,25,1997,14.8,302.0,267.0,35.0,0.0,0.0,4.0,14,3.0,0.0,0.0,0.0,0.0,220.0,0.0,21.0
