RL2018-2019,Jugador2018-2019,País2018-2019,Posc2018-2019,Equipo2018-2019,Comp2018-2019,Edad2018-2019,Nacimiento2018-2019,90 s2018-2019,ACT2018-2019,SCA902018-2019,PassLive2018-2019,PassDead2018-2019,HASTA2018-2019,Dis2018-2019,FR2018-2019,Def2018-2019,ACG2018-2019,GCA902018-2019,PassLive.12018-2019,PassDead.12018-2019,HASTA.12018-2019,Dis.12018-2019,FR.12018-2019,Def.12018-2019
129,Allan,br BRA,CC,Napoli,it Serie A,27,1991,31.1,95,6.609999999999999,79,1,8,2,3,2,10,0.34,9,0,1,0,0,0
66,Dele Alli,eng ENG,CC,Tottenham,eng Premier League,22,1996,20.3,64,3.16,45,2,6,5,5,1,5,0.25,3,0,0,1,1,0
67,Miguel Almirón,py PAR,CC,Newcastle Utd,eng Premier League,24,1994,8.4,36,4.27,27,0,1,3,3,2,3,0.36,1,0,0,1,1,0
68,Júnior Alonso,py PAR,"DF,CC",Celta Vigo,es La Liga,25,1993,6.0,6,1.01,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
69,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,27,1990,30.7,66,2.15,55,1,0,5,4,1,10,0.33,6,0,0,2,2,0
70,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,29,1989,6.3,16,2.52,13,2,1,0,0,0,0,0.0,0,0,0,0,0,0
143,Sergio Álvarez,es ESP,"DF,CC",Eibar,es La Liga,26,1992,24.9,6,0.5,5,1,0,0,0,0,1,0.08,1,0,0,0,0,0
73,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,23,1995,29.0,10,0.34,8,0,0,2,0,0,0,0.0,0,0,0,0,0,0
74,Bruno Alves,pt POR,DF,Parma,it Serie A,36,1981,32.5,24,0.74,18,3,1,1,0,1,2,0.06,2,0,0,0,0,0
75,Dani Alves,br BRA,"CC,DF",Paris S-G,fr Ligue 1,35,1983,18.0,60,3.33,54,2,0,1,2,1,11,0.61,10,0,0,0,0,1
76,Alfons Amade,de GER,CC,Hoffenheim,de Bundesliga,18,1999,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
77,Ibrahim Amadou,fr FRA,"CC,DF",Sevilla,es La Liga,25,1993,8.5,9,1.06,8,0,0,1,0,0,0,0.0,0,0,0,0,0,0
78,Romain Amalfitano,fr FRA,"CC,DL",Dijon,fr Ligue 1,28,1989,28.0,40,1.43,36,0,0,1,2,1,1,0.04,0,0,0,1,0,0
79,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,23,1994,7.1,11,1.55,10,1,0,0,0,0,0,0.0,0,0,0,0,0,0
80,Jordi Amat,id IDN,DF,Rayo Vallecano,es La Liga,26,1992,30.7,16,0.52,11,2,0,1,1,1,1,0.03,1,0,0,0,0,0
81,Amath,sn SEN,CC,Getafe,es La Liga,22,1996,11.1,34,3.05,23,0,3,4,3,1,3,0.27,2,0,0,1,0,0
82,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,24,1994,24.2,53,2.19,41,5,2,3,0,2,3,0.12,3,0,0,0,0,0
83,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,20,1998,32.0,38,1.19,26,5,5,2,0,0,2,0.06,2,0,0,0,0,0
84,Nadiem Amiri,de GER,CC,Hoffenheim,de Bundesliga,21,1996,8.4,28,3.34,21,1,4,1,1,0,3,0.36,1,0,1,0,1,0
85,Yanis Ammour,fr FRA,CC,Montpellier,fr Ligue 1,19,1999,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
86,Luke Amos,eng ENG,CC,Tottenham,eng Premier League,21,1997,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
87,Joachim Andersen,dk DEN,DF,Sampdoria,it Serie A,22,1996,32.0,27,0.84,23,1,0,2,0,1,3,0.09,3,0,0,0,0,0
88,Felipe Anderson,br BRA,"CC,DL",West Ham,eng Premier League,25,1993,33.8,139,4.11,95,17,11,5,7,4,15,0.44,10,0,3,2,0,0
89,Florin Andone,ro ROU,DL,Brighton,eng Premier League,25,1993,9.8,13,1.33,7,0,1,3,2,0,1,0.1,0,0,0,1,0,0
90,Benjamin André,fr FRA,CC,Rennes,fr Ligue 1,27,1990,27.7,67,2.42,50,1,4,1,7,4,6,0.22,4,0,1,0,1,0
183,Marco Andreolli,it ITA,DF,Cagliari,it Serie A,32,1986,8.4,2,0.28,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
93,Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,29,1989,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
94,José Ángel,es ESP,DF,Eibar,es La Liga,28,1989,33.6,92,2.73,59,25,4,2,1,1,5,0.15,4,1,0,0,0,0
95,Miguel Ángel Moyá,es ESP,PO,Real Sociedad,es La Liga,34,1984,11.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
96,Cristian Ansaldi,ar ARG,"DF,CC",Torino,it Serie A,31,1986,20.1,66,3.29,40,10,9,4,2,1,5,0.25,3,0,1,0,0,1
97,Mirco Antenucci,it ITA,DL,SPAL,it Serie A,33,1984,23.7,64,2.7,46,0,3,6,7,2,5,0.21,3,0,1,0,1,0
98,Waldemar Anton,de GER,DF,Hannover 96,de Bundesliga,22,1996,34.0,27,0.79,21,2,2,1,1,0,0,0.0,0,0,0,0,0,0
99,Luca Antonelli,it ITA,DF,Empoli,it Serie A,31,1987,8.4,11,1.31,8,0,0,1,1,1,2,0.24,2,0,0,0,0,0
100,Mauro Antonio Burruchaga,ar ARG,CC,Chievo,it Serie A,20,1998,0.6,1,1.55,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
101,Michail Antonio,jm JAM,"CC,DL",West Ham,eng Premier League,28,1990,23.4,64,2.74,40,0,9,8,5,2,10,0.43,5,0,1,2,2,0
102,Antoñito,es ESP,"DF,CC",Valladolid,es La Liga,30,1987,20.7,49,2.37,38,2,7,0,2,0,2,0.1,1,0,1,0,0,0
103,Vitorino Antunes,pt POR,"DF,CC",Getafe,es La Liga,31,1987,24.2,68,2.81,37,21,4,3,2,1,6,0.25,5,1,0,0,0,0
104,Anuar,ma MAR,"CC,DL",Valladolid,es La Liga,23,1995,12.0,10,0.83,9,0,0,0,1,0,0,0.0,0,0,0,0,0,0
105,Dennis Aogo,de GER,CC,Stuttgart,de Bundesliga,31,1987,11.4,26,2.28,15,8,1,2,0,0,1,0.09,0,0,0,1,0,0
106,Houssem Aouar,dz ALG,CC,Lyon,fr Ligue 1,20,1998,34.0,123,3.62,97,0,5,11,9,1,20,0.59,11,0,0,3,5,1
107,Emmanuel Apeh,ng NGA,"DL,CC",Celta Vigo,es La Liga,21,1996,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
108,Mauro Arambarri,uy URU,CC,Getafe,es La Liga,22,1995,29.7,38,1.28,21,1,4,2,9,1,3,0.1,1,0,0,0,1,1
109,Guilherme Arana,br BRA,DF,Sevilla,es La Liga,21,1997,7.0,5,0.72,4,0,0,0,1,0,0,0.0,0,0,0,0,0,0
110,Charles Aránguiz,cl CHI,CC,Leverkusen,de Bundesliga,29,1989,21.0,72,3.42,64,4,0,3,1,0,13,0.62,12,0,0,1,0,0
111,Luiz Araújo,br BRA,"DL,CC",Lille,fr Ligue 1,22,1996,8.7,30,3.46,23,3,1,2,1,0,3,0.35,2,0,1,0,0,0
112,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,26,1991,29.8,11,0.37,10,0,0,1,0,0,0,0.0,0,0,0,0,0,0
113,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,31,1987,21.7,16,0.74,14,0,0,1,1,0,3,0.14,3,0,0,0,0,0
114,Joaquín Ardaiz,uy URU,DL,Frosinone,it Serie A,19,1999,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
115,Alphonse Areola,fr FRA,PO,Paris S-G,fr Ligue 1,25,1993,21.0,3,0.14,2,1,0,0,0,0,1,0.05,1,0,0,0,0,0
116,Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,26,1992,19.7,37,1.88,30,4,1,0,2,0,2,0.1,2,0,0,0,0,0
117,Lorenzo Ariaudo,it ITA,DF,Frosinone,it Serie A,29,1989,18.7,14,0.75,13,1,0,0,0,0,0,0.0,0,0,0,0,0,0
118,Nicolò Armini,it ITA,DF,Lazio,it Serie A,17,2001,0.4,1,2.37,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
119,Yoël Armougom,fr FRA,DF,Caen,fr Ligue 1,20,1998,20.6,39,1.89,33,2,0,1,1,2,4,0.19,4,0,0,0,0,0
120,Stuart Armstrong,sct SCO,CC,Southampton,eng Premier League,26,1992,15.9,61,3.83,43,2,3,5,7,1,8,0.5,6,0,0,0,2,0
121,José Arnaiz,es ESP,"CC,DL",Leganés,es La Liga,23,1995,1.3,2,1.59,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
122,Marko Arnautović,at AUT,DL,West Ham,eng Premier League,29,1989,22.1,66,2.99,52,0,5,7,2,0,8,0.36,7,0,0,1,0,0
123,Maximilian Arnold,de GER,CC,Wolfsburg,de Bundesliga,24,1994,31.9,90,2.82,41,30,4,6,9,0,14,0.44,4,6,1,1,2,0
124,Kepa Arrizabalaga,es ESP,PO,Chelsea,eng Premier League,23,1994,36.0,1,0.03,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
125,Harry Arter,ie IRL,CC,Cardiff City,eng Premier League,28,1989,22.2,37,1.67,32,1,1,2,1,0,6,0.27,5,0,0,1,0,0
126,Kwadwo Asamoah,gh GHA,DF,Inter,it Serie A,29,1988,29.7,87,2.93,73,3,5,2,3,1,2,0.07,2,0,0,0,0,0
127,Takuma Asano,jp JPN,"CC,DL",Hannover 96,de Bundesliga,23,1994,7.8,14,1.81,6,0,1,4,3,0,0,0.0,0,0,0,0,0,0
128,Santiago Ascacíbar,ar ARG,CC,Stuttgart,de Bundesliga,21,1997,27.0,45,1.67,39,0,0,5,1,0,4,0.15,3,0,0,1,0,0
129,Sergio Asenjo,es ESP,PO,Villarreal,es La Liga,29,1989,32.0,2,0.06,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
130,Marco Asensio,es ESP,DL,Real Madrid,es La Liga,22,1996,19.8,67,3.39,48,5,7,2,5,0,10,0.51,7,0,0,0,3,0
131,Iago Aspas,es ESP,"DL,CC",Celta Vigo,es La Liga,30,1987,25.0,113,4.52,91,4,8,5,4,1,15,0.6,12,0,2,0,1,0
132,Simon Asta,de GER,DF,Augsburg,de Bundesliga,17,2001,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
133,Youcef Atal,dz ALG,"DF,DL",Nice,fr Ligue 1,22,1996,25.1,76,3.02,43,3,14,3,12,1,2,0.08,1,0,0,1,0,0
134,Christian Atsu,gh GHA,CC,Newcastle Utd,eng Premier League,26,1992,16.6,42,2.53,32,0,1,4,5,0,5,0.3,3,0,1,1,0,0
135,Pierre-Emerick Aubameyang,ga GAB,DL,Arsenal,eng Premier League,29,1989,30.3,60,1.98,42,0,7,5,5,1,11,0.36,6,0,1,2,2,0
136,Emil Audero,it ITA,PO,Sampdoria,it Serie A,21,1997,36.0,6,0.17,3,3,0,0,0,0,0,0.0,0,0,0,0,0,0
137,Jean-Kévin Augustin,fr FRA,DL,RB Leipzig,de Bundesliga,21,1997,5.1,17,3.32,9,0,3,1,4,0,2,0.39,0,0,1,1,0,0
138,Ludwig Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,24,1994,33.6,82,2.44,65,12,1,3,1,0,9,0.27,8,0,0,1,0,0
139,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,25,1992,6.3,12,1.91,9,1,1,0,0,1,3,0.48,3,0,0,0,0,0
140,Charlie Austin,eng ENG,DL,Southampton,eng Premier League,29,1989,10.9,23,2.11,13,0,0,5,3,2,2,0.18,1,0,0,1,0,0
141,Ezequiel Ávila,ar ARG,"DL,CC",Huesca,es La Liga,24,1994,22.2,54,2.43,36,0,3,6,9,0,8,0.36,5,0,0,2,1,0
142,Jordan Ayew,gh GHA,DL,Crystal Palace,eng Premier League,26,1991,13.1,33,2.51,21,0,1,5,4,2,5,0.38,3,0,0,1,0,1
143,Kaan Ayhan,tr TUR,DF,Düsseldorf,de Bundesliga,23,1994,27.2,25,0.92,21,1,0,3,0,0,1,0.04,1,0,0,0,0,0
144,Floyd Ayité,tg TOG,"DL,CC",Fulham,eng Premier League,29,1988,5.3,16,3.03,13,1,1,1,0,0,1,0.19,0,0,1,0,0,0
145,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,28,1989,37.8,67,1.77,60,2,1,1,2,1,10,0.26,9,0,0,0,1,0
146,Abdoulaye Ba,sn SEN,DF,Rayo Vallecano,es La Liga,27,1991,23.4,5,0.21,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
147,Florian Baak,de GER,CC,Hertha BSC,de Bundesliga,19,1999,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
148,Ludovic Baal,gf GUF,DF,Rennes,fr Ligue 1,32,1986,1.4,1,0.71,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
149,Khouma Babacar,sn SEN,DL,Sassuolo,it Serie A,25,1993,16.5,37,2.24,24,0,2,9,2,0,10,0.6,5,0,0,4,1,0
150,Ryan Babel,nl NED,"DL,CC",Fulham,eng Premier League,31,1986,13.9,50,3.6,31,7,6,4,2,0,6,0.43,4,0,1,1,0,0
151,Carlos Bacca,co COL,DL,Villarreal,es La Liga,31,1986,14.1,44,3.12,33,0,6,4,1,0,4,0.28,1,0,1,1,1,0
152,Juninho Bacuna,cw CUW,"CC,DF",Huddersfield,eng Premier League,20,1997,15.7,41,2.61,30,6,2,0,3,0,0,0.0,0,0,0,0,0,0
153,Leandro Bacuna,cw CUW,CC,Cardiff City,eng Premier League,26,1991,6.2,7,1.12,5,1,0,1,0,0,0,0.0,0,0,0,0,0,0
154,Milan Badelj,hr CRO,CC,Lazio,it Serie A,29,1989,12.7,32,2.52,26,2,1,0,2,1,2,0.16,1,0,1,0,0,0
155,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,17,2001,19.6,14,0.72,11,1,0,0,1,1,2,0.1,1,0,0,0,1,0
156,Holger Badstuber,de GER,DF,Stuttgart,de Bundesliga,29,1989,5.8,2,0.34,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
157,Stéphane Bahoken,cm CMR,DL,Angers,fr Ligue 1,26,1992,27.4,49,1.79,36,1,1,4,4,3,4,0.15,3,0,0,1,0,0
158,Daniel Baier,de GER,CC,Augsburg,de Bundesliga,34,1984,31.3,66,2.11,55,2,0,2,5,2,5,0.16,4,0,0,0,1,0
159,Leon Bailey,jm JAM,DL,Leverkusen,de Bundesliga,20,1997,21.3,90,4.23,54,14,9,7,6,0,3,0.14,2,0,0,1,0,0
160,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,24,1994,7.1,2,0.28,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0
161,Leighton Baines,eng ENG,DF,Everton,eng Premier League,33,1984,4.2,10,2.4,3,6,0,1,0,0,2,0.48,1,1,0,0,0,0
162,Marvin Bakalorz,de GER,CC,Hannover 96,de Bundesliga,28,1989,16.3,18,1.1,13,0,1,0,4,0,2,0.12,1,0,0,0,1,0
163,Tiemoué Bakayoko,fr FRA,CC,Milan,it Serie A,23,1994,25.6,76,2.97,60,0,5,1,5,5,7,0.27,6,0,0,0,0,1
164,Ridle Baku,de GER,CC,Mainz 05,de Bundesliga,20,1998,10.4,22,2.12,20,0,1,0,1,0,0,0.0,0,0,0,0,0,0
165,Fabián Balbuena,py PAR,DF,West Ham,eng Premier League,26,1991,22.4,12,0.54,7,0,0,5,0,0,1,0.04,0,0,0,1,0,0
166,Keita Baldé,sn SEN,DL,Inter,it Serie A,23,1995,9.9,43,4.35,31,0,6,2,4,0,5,0.51,3,0,2,0,0,0
167,Gareth Bale,wls WAL,DL,Real Madrid,es La Liga,29,1989,19.8,51,2.57,34,1,8,5,3,0,9,0.45,6,0,2,1,0,0
168,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,30,1988,5.8,3,0.52,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
169,Andrija Balić,hr CRO,"DL,CC",Udinese,it Serie A,20,1997,0.3,2,6.67,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
341,Fodé Ballo-Touré,sn SEN,DF,Lille,fr Ligue 1,21,1997,35.4,56,3.17,46,3,3,0,4,0,7,0.39,6,0,0,0,1,0
172,Florent Balmont,fr FRA,CC,Dijon,fr Ligue 1,38,1980,12.0,33,2.76,27,6,0,0,0,0,1,0.08,1,0,0,0,0,0
173,Leon Balogun,ng NGA,DF,Brighton,eng Premier League,30,1988,6.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
349,Mario Balotelli,it ITA,DL,Nice,fr Ligue 1,27,1990,18.8,48,5.0,33,0,2,5,8,0,6,0.63,5,0,0,1,0,0
176,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,28,1990,28.6,31,1.08,27,3,0,0,0,1,4,0.14,4,0,0,0,0,0
177,Jonathan Bamba,ci CIV,"DL,CC",Lille,fr Ligue 1,22,1996,33.4,102,3.06,83,2,7,4,6,0,9,0.27,6,0,1,1,1,0
178,Sol Bamba,ci CIV,DF,Cardiff City,eng Premier League,33,1985,27.5,18,0.65,10,1,1,5,1,0,2,0.07,2,0,0,0,0,0
